sport, round, number_in_round, event_name, location, track_name, date, start_time

DTM, 1, 1, Free Practice, Germany, Hockenheim, 2017-05-05, 0
DTM, 1, 2, Free Practice, Germany, Hockenheim, 2017-05-06, 0
DTM, 1, 3, Qualifying , Germany, Hockenheim, 2017-05-06, 0
DTM, 1, 4, Race , Germany, Hockenheim, 2017-05-06, 0
DTM, 1, 5, Free Practice, Germany, Hockenheim, 2017-05-07, 0
DTM, 1, 6, Qualifying, Germany, Hockenheim, 2017-05-07, 0
DTM, 1, 7, Race, Germany, Hockenheim, 2017-05-07, 0

DTM, 2, 1, Free Practice, Germany, Lausitzring, 2017-05-19, 0
DTM, 2, 2, Free Practice, Germany, Lausitzring, 2017-05-20, 0
DTM, 2, 3, Qualifying , Germany, Lausitzring, 2017-05-20, 0
DTM, 2, 4, Race , Germany, Lausitzring, 2017-05-20, 0
DTM, 2, 5, Free Practice, Germany, Lausitzring, 2017-05-21, 0
DTM, 2, 6, Qualifying, Germany, Lausitzring, 2017-05-21, 0
DTM, 2, 7, Race, Germany, Lausitzring, 2017-05-21, 0

DTM, 3, 1, Free Practice, Hungary, Budapest, 2017-06-16, 0
DTM, 3, 2, Free Practice, Hungary, Budapest, 2017-06-17, 0
DTM, 3, 3, Qualifying , Hungary, Budapest, 2017-06-17, 0
DTM, 3, 4, Race , Hungary, Budapest, 2017-06-17, 0
DTM, 3, 5, Free Practice, Hungary, Budapest, 2017-06-18, 0
DTM, 3, 6, Qualifying, Hungary, Budapest, 2017-06-18, 0
DTM, 3, 7, Race, Hungary, Budapest, 2017-06-18, 0

DTM, 4, 1, Free Practice, Germany, Norisring, 2017-06-30, 0
DTM, 4, 2, Free Practice, Germany, Norisring, 2017-07-01, 0
DTM, 4, 3, Qualifying , Germany, Norisring, 2017-07-01, 0
DTM, 4, 4, Race , Germany, Norisring, 2017-07-01, 0
DTM, 4, 5, Free Practice, Germany, Norisring, 2017-07-02, 0
DTM, 4, 6, Qualifying, Germany, Norisring, 2017-07-02, 0
DTM, 4, 7, Race, Germany, Norisring, 2017-07-02, 0

DTM, 5, 1, Free Practice, Russia, Moscow Raceway, 2017-07-21, 0
DTM, 5, 2, Free Practice, Russia, Moscow Raceway, 2017-07-22, 0
DTM, 5, 3, Qualifying , Russia, Moscow Raceway, 2017-07-22, 0
DTM, 5, 4, Race , Russia, Moscow Raceway, 2017-07-22, 0
DTM, 5, 5, Free Practice, Russia, Moscow Raceway, 2017-07-23, 0
DTM, 5, 6, Qualifying, Russia, Moscow Raceway, 2017-07-23, 0
DTM, 5, 7, Race, Russia, Moscow Raceway, 2017-07-23, 0

DTM, 6, 1, Free Practice, The Netherlands, Zandvoort, 2017-08-18, 0
DTM, 6, 2, Free Practice, The Netherlands, Zandvoort, 2017-08-19, 0
DTM, 6, 3, Qualifying , The Netherlands, Zandvoort, 2017-08-19, 0
DTM, 6, 4, Race , The Netherlands, Zandvoort, 2017-08-19, 0
DTM, 6, 5, Free Practice, The Netherlands, Zandvoort, 2017-08-20, 0
DTM, 6, 6, Qualifying, The Netherlands, Zandvoort, 2017-08-20, 0
DTM, 6, 7, Race, The Netherlands, Zandvoort, 2017-08-20, 0

DTM, 7, 1, Free Practice, Germany, Nürburgring, 2017-09-08, 0
DTM, 7, 2, Free Practice, Germany, Nürburgring, 2017-09-09, 0
DTM, 7, 3, Qualifying , Germany, Nürburgring, 2017-09-09, 0
DTM, 7, 4, Race , Germany, Nürburgring, 2017-09-09, 0
DTM, 7, 5, Free Practice, Germany, Nürburgring, 2017-09-10, 0
DTM, 7, 6, Qualifying, Germany, Nürburgring, 2017-09-10, 0
DTM, 7, 7, Race, Germany, Nürburgring, 2017-09-10, 0

DTM, 8, 1, Free Practice, Austria, Speilberg, 2017-09-22, 0
DTM, 8, 2, Free Practice, Austria, Speilberg, 2017-09-23, 0
DTM, 8, 3, Qualifying , Austria, Speilberg, 2017-09-23, 0
DTM, 8, 4, Race , Austria, Speilberg, 2017-09-23, 0
DTM, 8, 5, Free Practice, Austria, Speilberg, 2017-09-24, 0
DTM, 8, 6, Qualifying, Austria, Speilberg, 2017-09-24, 0
DTM, 8, 7, Race, Austria, Speilberg, 2017-09-24, 0

DTM, 9, 1, Free Practice, Germany, Hockenheim, 2017-10-13, 0
DTM, 9, 2, Free Practice, Germany, Hockenheim, 2017-10-14, 0
DTM, 9, 3, Qualifying , Germany, Hockenheim, 2017-10-14, 0
DTM, 9, 4, Race , Germany, Hockenheim, 2017-10-14, 0
DTM, 9, 5, Free Practice, Germany, Hockenheim, 2017-10-15, 0
DTM, 9, 6, Qualifying, Germany, Hockenheim, 2017-10-15, 0
DTM, 9, 7, Race, Germany, Hockenheim, 2017-10-15, 0
